gold_per_min,level,leaver_status,xp_per_min,radiant_score,gold_spent,deaths,denies,hero_damage,tower_damage,last_hits,hero_healing,duration,radiant_win
2749,148,0,3609,47,127155,59,48,207831,16394,1270,7664,3189,1
4041,128,0,7269,11,60480,39,23,77668,5975,233,5305,1062,0
2811,147,0,4379,58,105185,47,47,178683,13498,982,7649,2493,1
4709,136,0,8023,24,96905,37,13,90639,4870,289,971,1245,0
5716,144,0,7864,33,111575,22,31,90418,14795,407,12396,1304,1
5734,150,0,7981,40,147990,54,11,197449,12998,517,400,1752,1
3153,150,0,3877,63,156840,87,48,295692,9052,1441,780,3824,0
2015,107,0,2756,18,60690,44,32,84446,4462,618,4106,1992,0
2445,133,0,3524,28,80210,61,46,144024,11937,916,567,2328,0
2730,136,0,3385,34,113940,44,76,139629,7259,1496,800,2754,0
2986,131,1,3815,59,88650,37,62,124621,22732,929,2852,2177,1
4725,150,0,9185,26,116805,49,9,117874,1649,389,0,1608,0
2376,123,0,3492,34,75070,61,43,113320,8479,716,0,2216,0
2885,117,0,3598,48,75870,29,58,105487,19989,571,550,1767,1
5209,150,1,8959,30,113145,31,36,116479,14968,464,400,1553,1
4214,140,1,6649,16,86880,40,23,62153,726,324,0,1386,0
2416,133,0,3115,32,107025,53,64,109437,13048,1052,11257,2922,0
2487,108,0,3361,50,62625,43,70,119129,14857,435,2108,1625,1
6042,148,0,9149,41,130305,20,33,88667,21147,383,400,1286,1
2645,140,0,3580,40,93165,61,54,160920,9670,1094,7069,2626,0
2837,143,0,4043,43,95785,36,73,117989,15748,1016,6565,2407,1
2420,145,0,3406,35,108985,48,84,142327,7771,1303,3810,3100,0
2886,149,0,3891,50,120215,54,62,167659,16285,1337,3151,3135,1
2295,134,0,3489,50,72010,58,53,143465,15941,706,3332,2397,0
3281,150,1,4164,63,184935,61,62,237297,14017,2062,4128,3612,1
5359,150,0,8876,28,123060,44,27,141977,13753,502,4853,1538,0
3134,150,0,3539,42,173500,50,95,192727,9600,1907,2400,3597,1
2960,138,0,4075,52,97850,49,48,127785,18460,988,125,2294,1
2373,147,0,3814,50,96365,56,33,174862,16605,851,13032,3030,1
2795,145,0,3563,30,125385,50,60,150881,24999,1413,240,3155,1
4495,146,0,8659,24,84800,36,20,101619,2640,296,13305,1300,0
3364,130,1,3244,52,189565,51,67,257233,28500,2593,3093,4676,1
5685,150,0,9284,39,168045,40,27,194236,21131,723,14190,1989,1
2616,128,1,3351,38,87265,22,94,108392,18009,961,0,2276,1
2342,125,0,2981,27,81525,44,65,176992,3191,1142,8782,2490,0
2998,140,0,4191,47,103255,41,39,154486,12685,943,275,2287,1
2990,128,1,3438,35,130485,47,62,138831,14969,1452,0,3242,1
2723,148,0,3814,33,101360,46,103,170270,23014,1227,30945,2924,1
3055,113,0,3363,48,80930,29,46,96913,25848,729,1943,1825,1
2515,134,0,2996,22,101760,40,51,153010,2938,991,3045,2788,0
5507,150,0,9237,51,141560,40,35,218464,19363,401,10134,1715,1
2346,95,0,2687,29,53230,17,86,88948,13874,568,2000,1644,1
3448,136,0,4040,43,117945,33,42,130347,19241,1141,4361,2160,1
4042,142,0,7117,17,85390,46,10,83574,9506,292,180,1375,0
3183,97,0,2998,30,61475,23,42,72849,25183,690,2287,1522,1
3146,148,0,4048,46,104455,58,59,145768,26662,996,11005,2628,1
2479,145,0,3557,31,97825,43,70,114099,11643,991,1465,2806,0
2747,105,0,3393,13,62450,31,57,162795,10114,455,8528,1639,0
3269,148,0,4109,44,116570,29,73,161681,19653,1420,1919,2482,1
2978,147,0,3686,46,137185,69,100,195694,21997,1242,1750,3416,0
2316,119,0,3233,22,71635,47,37,81326,6134,891,0,2061,0
5918,131,0,8295,33,90750,20,6,83013,13692,207,3319,1032,1
2231,126,0,2992,27,82060,45,70,158212,5598,1134,5749,2477,0
2840,137,0,3151,35,120815,39,65,188161,22409,1661,17990,3058,0
2944,150,0,3967,40,146835,56,62,174103,17507,1799,300,3525,0
2473,120,1,3151,36,80655,45,53,129023,4544,690,0,2356,0
5603,150,0,9301,24,102650,22,14,115269,17109,394,1771,1279,1
2588,147,0,3866,43,104430,51,38,226192,12928,1201,0,2944,0
4359,149,0,5298,46,126860,37,53,162019,23178,1016,9425,2184,1
5858,150,0,8722,58,203450,61,22,246551,11017,881,6272,2623,0
2876,147,0,3913,48,112875,48,90,184389,19608,1149,8879,2728,1
2513,109,0,3138,43,58810,17,87,86212,22184,582,2015,1796,1
2845,137,0,3628,37,111515,36,68,112274,13335,1104,315,2580,1
4541,150,0,7249,24,130500,40,38,162460,3548,533,6530,1900,0
2398,143,0,3678,43,92030,59,53,150813,6026,895,875,2641,0
2312,101,1,2969,30,49190,50,37,91444,2309,687,0,1633,0
3022,149,0,4836,42,109180,58,47,154237,17387,1183,0,2386,1
2012,121,0,3109,21,61810,83,54,146281,4073,451,10651,2280,0
2942,147,0,3835,38,103080,48,79,181111,28587,1218,7876,2810,1
2780,140,0,3617,38,109650,52,69,184321,15457,1491,1382,2715,0
2666,115,0,3187,40,74455,23,71,124536,18948,837,45,1949,1
2570,144,0,3542,53,111980,43,63,124373,25635,1088,0,2869,1
2388,133,0,3320,30,85365,48,81,132409,14589,1122,1377,2643,0
3123,147,0,4024,52,113585,64,79,181924,18743,1113,9668,2691,1
2199,110,0,2995,36,63660,34,82,88075,12200,604,9598,1923,1
2830,140,0,3672,48,102625,57,76,187432,22981,1174,19145,2698,1
2738,150,0,4059,58,127645,76,60,191247,16004,1173,9205,3372,0
2870,134,0,3287,24,124440,47,48,88762,2264,1229,1899,2595,0
3104,125,0,3519,42,96380,26,71,121104,18243,916,365,2106,1
2773,124,0,3199,33,92125,33,89,91490,22347,1060,480,2270,1
5191,119,0,7367,31,70605,9,24,73012,7587,223,650,899,1
2197,130,0,3210,32,80375,61,34,137346,5750,791,642,2575,0
3425,150,0,4018,70,236650,78,98,370463,25966,2976,1371,5674,1
2702,109,0,3275,43,65685,29,44,86743,22913,572,3206,1668,1
3425,130,0,3881,40,105270,29,36,144988,24448,905,960,2126,1
2865,96,0,2725,31,74955,29,42,88127,26567,650,4067,1681,1
3909,122,0,6192,8,69000,33,38,60375,2680,345,3441,1133,0
3362,150,0,4033,64,172605,56,93,313176,18335,1995,0,3651,0
2823,148,0,3858,50,119650,67,70,191083,18412,1536,3827,3205,0
4781,148,0,8924,25,95475,41,30,84944,1048,395,5175,1288,0
6264,124,0,7764,23,84505,13,23,55494,24464,417,13583,892,1
2611,148,0,4411,53,81520,56,44,176156,21241,817,614,2452,1
2163,137,1,3639,34,75755,64,46,105971,4306,631,4652,2516,0
2347,135,0,3588,42,78135,66,43,188127,11397,645,1172,2351,0
2649,140,0,3669,32,91035,51,68,158423,7939,1108,7060,2562,0
3189,147,1,4085,56,135795,80,52,314027,22070,1520,5113,3305,0
